"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
"ABCE1",7.02135350757576,10.7988063788462,3.52222889291927,0.00168729425015305,0.0051863287823191,-1.79576603271264,"ABCE1"
"LAMTOR1",7.71460242018181,9.81807888730769,3.52075822776438,0.00169351667507475,0.00520047369408123,-1.79930946353067,"LAMTOR1"
"SCCPDH",7.9523254960606,5.80022228115385,3.51786121981363,0.00170583951939515,0.00523161175149215,-1.80628813110368,"SCCPDH"
"RCSD1",7.6778819710909,9.81208619192308,3.51760882113017,0.00170691726513315,0.00523161175149215,-1.80689605166258,"RCSD1"
"MRPL4",7.99472644381817,5.83372867730769,3.51210562030696,0.00173058173979651,0.0052990809188998,-1.8201473819192,"MRPL4"
"USP7",6.77474750769697,11.8565187711538,3.50618068669289,0.00175641726591159,0.00536794572029551,-1.83440664374507,"USP7"
"STAT6",6.2567673889697,9.73186719,3.50149937622357,0.00177709550383742,0.00542597475910016,-1.84566735390837,"STAT6"
"HIST1H2A",-1.70715745254547,20.0855553142308,-3.50066909409884,0.00178078770711638,0.00543207961229701,-1.84766404887816,"HIST1H2A"
"CD2AP",7.32304516490909,9.37233044807692,3.50018832410824,0.00178292907233976,0.00543344671713037,-1.84882015211709,"CD2AP"
"EIF3H",6.67687147139393,11.7247331807692,3.49860968392025,0.00178997804924851,0.00544458726069997,-1.85261592596101,"EIF3H"
"NSUN2",7.65519610181817,10.6158882376923,3.49809964030664,0.00179226130571802,0.00544636982012228,-1.85384218369034,"NSUN2"
"GGCT",6.68697955739392,11.7497885088462,3.48419815078023,0.00185559686608525,0.00562817612785214,-1.88724163251652,"GGCT"
"MNDA",7.21330164436364,5.30775128307692,3.48359609101466,0.00185838856338753,0.00563132096308836,-1.88868713065609,"MNDA"
"PMM2",6.65649871266664,11.6056975788462,3.48290401932282,0.00186160269199312,0.00563573871566596,-1.89034863738491,"PMM2"
"ISOC1",6.49969774993938,11.4516964076923,3.46950268240358,0.00192491943485244,0.00582192880908717,-1.92250038321047,"ISOC1"
"MACF1",7.68598778254545,5.67064571615385,3.46571432107852,0.00194319506296695,0.00586744989922996,-1.93158164480485,"MACF1"
"LSM6",6.83319986169695,12.0366436630769,3.4656251920152,0.00194362706228777,0.00586744989922996,-1.93179525996216,"LSM6"
"RBP4",-5.00209236424244,13.7951948330769,-3.46076740252705,0.00196731418650189,0.00592780396665219,-1.94343508347464,"RBP4"
"C5",-6.38452176763637,12.4355256407692,-3.45908010832886,0.0019756071785764,0.00593995582939266,-1.94747673847926,"C5"
"IGKV3-11",-6.70266631284849,15.1232772453846,-3.45834771751008,0.00197921743334885,0.00593995582939266,-1.94923086007978,"IGKV3-11"
"EIF4G3",7.3396831829697,10.3951306819231,3.45819660569352,0.00197996312408661,0.00593995582939266,-1.94959276656556,"EIF4G3"
"HPCAL1",7.26292178309091,9.29311628346154,3.45816295365076,0.00198012922387542,0.00593995582939266,-1.94967336106928,"HPCAL1"
"NCK1",7.25224195933333,4.18398574576923,3.45688278979382,0.00198645793728941,0.00593995582939266,-1.95273907394628,"NCK1"
"HDHD5",7.44058853999999,4.29264723461538,3.45655377015928,0.00198808768020956,0.00593995582939266,-1.95352694169461,"HDHD5"
"NOL9",7.229515516,4.17087433615385,3.45572953549919,0.00199217610119513,0.00593995582939266,-1.9555005351646,"NOL9"
"MLEC",7.55943907157575,8.21895828807692,3.4552090420257,0.00199476209911912,0.00593995582939266,-1.95674675115353,"MLEC"
"ZNF326",6.868254926,3.962454765,3.45465402988527,0.00199752319661334,0.00593995582939266,-1.9580755445707,"ZNF326"
"KLC4",6.542032298,3.77424940269231,3.4544079484171,0.00199874860256723,0.00593995582939266,-1.95866468214245,"KLC4"
"VPS13C",7.17212783133334,4.13776605653846,3.45335220332175,0.00200401417682697,0.00593995582939266,-1.96119205290697,"VPS13C"
"THEMIS",7.34269592266666,4.23617072461539,3.45316460513953,0.00200495124207818,0.00593995582939266,-1.9616411206133,"THEMIS"
