"","gene","distance","Z","FC","p.value","p.adj","log2FC"
"929","GSTP1",1.47136964049061e-06,2.04516651227376,19.9894453237709,7.78708105199779e-06,0.000697297712383439,4.32116653496652
"304","COL27A1",1.43932491558281e-06,2.03324005230148,19.1282327875127,1.22223454573722e-05,0.00106226561254514,4.2576316875227
"143","MGP",1.43440783284666e-06,2.0313883794624,18.9977626696368,1.3087181699749e-05,0.00110493205493595,4.24775761999741
"134","SFRP4",1.40012815078957e-06,2.01831431499637,18.1005902350278,2.09536468603047e-05,0.00171994517978334,4.17796483723804
"107","COL1A1",1.35492811610106e-06,2.00061666950934,16.9507793842756,3.83615676130827e-05,0.00306374141342323,4.08327970382297
"389","TIMP3",1.35070267273971e-06,1.99893452659191,16.8452197252314,4.05553488621339e-05,0.00315371199704226,4.07426734165717
"169","COL3A1",1.33680823550707e-06,1.9933687582679,16.5004347290586,4.86389207863574e-05,0.00364845067517224,4.04443212985511
"398","MMP2",1.33563577616232e-06,1.99289666312108,16.4715037207826,4.93868111698442e-05,0.00364845067517224,4.04190036285313
"18","CYP1B1",1.32742367795817e-06,1.98957928068021,16.2695777598317,5.49389714654019e-05,0.00395962587025031,4.02410490449021
"22","PLTP",1.31765078028289e-06,1.98560664745936,16.0308964485273,6.23172010548519e-05,0.00438446021707351,4.00278319821409
"504","TIMP1",1.31087401818263e-06,1.98283594776925,15.8664246353222,6.797400285447e-05,0.00467123670778974,3.9879051605513
"495","CFD",1.30673424925078e-06,1.98113688630404,15.7663698380599,7.16651277093186e-05,0.00481296482684174,3.97877861680973
"630","FBN1",1.30387974947293e-06,1.97996243747154,15.6975632793276,7.43198534643566e-05,0.00488033704415942,3.97246872294274
"872","SELENOP",1.28994235902233e-06,1.97419380637983,15.363769056227,8.86723553610869e-05,0.00569623500200026,3.94146027785361
"45","GSN",1.28304978688594e-06,1.97131973098946,15.2000207025528,9.6702360466206e-05,0.0060799037271838,3.92600138352004
"82","SAA1",1.27052814617727e-06,1.96606182573788,14.9047859235522,0.000113075752292569,0.00696122600051128,3.89770374903244
"2189","TIMP2",1.26700066612776e-06,1.96457199272291,14.822137854758,0.000118140508288116,0.00712459595900784,3.88968164307217
"1112","HLA-C",1.26376878135155e-06,1.96320364393519,14.7466172231673,0.000122967949690741,0.00726740582672277,3.88231214257714
"349","PLAC9",1.25159154108198e-06,1.95801877360901,14.4637997466138,0.000142879180854803,0.00810666712241879,3.85437470357119
"307","MAP1B",1.25092376595566e-06,1.95773310262872,14.4483698099827,0.000144054487473875,0.00810666712241879,3.85283481946607
"29","ADIRF",1.25016624654141e-06,1.95740886922176,14.4308761673065,0.000145398767339491,0.00810666712241879,3.85108699027117
"256","POTEI",1.22974863633575e-06,1.94860077761941,13.9633576196839,0.000186408442297252,0.01001769722796,3.80357398764019
"136","TAGLN",1.22972813915955e-06,1.94859186766078,13.9628921472975,0.000186454601535634,0.01001769722796,3.80352589420055
"2168","PITHD1",1.22817611208485e-06,1.94791681589908,13.927669546908,0.000189981111315999,0.0100248961417639,3.79988197347345
"355","LUM",1.22319279503942e-06,1.94574400072289,13.8148759740986,0.00020173264104803,0.0104582448122268,3.7881507050033
"1587","VIM",1.22019594792061e-06,1.94443338897445,13.7472654474575,0.000209125040548893,0.0106545602555514,3.78107276677989
