"","GSM2109575","GSM2109576","GSM2109577","GSM2109578","GSM2109579","GSM2109580","GSM2109581","GSM2109582","GSM2109583","GSM2109584","GSM2109585","GSM2109586","GSM2109587","GSM2109588","GSM2109589","GSM2109590"
"TMC8",49,101,125,151,220,213,120,216,354,863,595,154,227,689,971,1249
"C17orf99",0,0,0,1,8,5,0,3,0,3,50,6,20,0,10,1
"SYNGR2",162,233,86,79,574,192,337,260,140,106,1125,18,571,118,191,133
"TK1",1,7,9,3,24,6,31,38,16,45,50,8,39,53,73,67
"LOC107985050",2,3,0,0,3,0,1,1,1,4,32,2,8,4,3,2
"AFMID",15,90,40,15,112,107,132,69,55,17,216,0,129,37,23,37
"BIRC5",6,18,29,19,12,7,31,35,119,113,26,11,28,242,199,212
"TMEM235",0,0,0,0,6,114,0,38,3,19,3,0,7,9,12,26
"LOC105371910",1,2,1,2,5,47,1,19,2,24,2,1,7,27,37,31
"LINC01993",1,0,2,5,1,9,1,3,20,281,10,17,4,191,186,318
"LOC105371912",1,0,0,1,0,1,7,6,1,2,13,0,10,4,6,8
"SOCS3",37,42,109,30,232,105,206,25,31,47,971,23,441,46,45,75
"SOCS3-DT",7,18,2,0,2,0,9,3,3,1,9,0,2,6,3,4
"PGS1",217,267,129,79,140,152,600,216,297,212,310,49,213,268,320,346
"DNAH17",22,49,10,7,10,11,66,19,32,22,34,4,25,19,21,45
"LOC107985047",0,1,0,0,0,0,1,0,0,0,0,0,0,6,0,0
"DNAH17-AS1",7,0,0,0,1,1,2,0,1,0,1,0,1,0,1,3
"SCAT1",0,8,1,0,2,1,4,3,0,3,5,0,0,4,1,0
"LOC112268196",42,48,28,28,62,51,138,65,82,131,91,29,87,127,161,183
"CYTH1",130,236,177,141,224,197,580,164,240,332,383,98,398,493,551,692
"USP36",60,136,113,71,133,158,213,213,133,177,284,23,146,176,270,372
"TIMP2",88,198,672,75,176,365,403,208,115,221,100,53,344,405,460,604
"CEP295NL",2,4,17,3,13,17,6,3,18,45,5,11,3,37,46,68
"LGALS3BP",247,308,497,57,311,515,1080,610,391,221,702,37,457,87,355,194
"CANT1",53,210,139,50,165,115,188,169,116,99,175,21,213,207,210,254
"C1QTNF1-AS1",0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0
"C1QTNF1",6,16,21,11,31,6,156,25,3,9,18,8,49,7,16,19
"ENGASE",19,77,67,36,72,55,77,140,72,191,153,35,110,70,213,164
"RBFOX3",0,0,2,1,3,0,2,1,6,4,5,1,1,1,7,6
"MIR4739",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC02078",0,2,2,1,1,0,4,1,4,4,1,0,0,0,1,0
"ENPP7",0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0
"CBX2",4,1,9,4,10,5,3,8,57,66,6,8,3,69,100,112
"CBX8",1,0,9,3,9,2,0,8,8,24,5,5,3,21,20,35
"LOC102723961",0,0,0,0,1,1,0,0,2,14,1,0,0,0,2,5
"LINC01977",0,0,0,0,0,1,0,2,0,0,2,0,1,4,4,3
"CBX4",49,91,94,33,83,48,131,114,111,142,60,32,98,219,191,245
"LINC01979",1,3,2,0,0,8,1,1,5,0,0,0,0,0,1,1
"LINC01978",0,1,3,0,0,1,0,0,1,0,0,0,0,1,0,1
"TBC1D16",41,125,120,25,82,161,263,280,143,62,65,13,91,48,69,57
"CCDC40",8,45,23,5,18,6,124,10,19,2,13,0,6,2,11,4
"MIR1268B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAA",33,73,98,22,69,280,136,156,101,68,60,11,35,56,55,129
"EIF4A3",55,161,177,57,119,127,188,113,106,114,114,11,149,215,192,224
"CARD14",6,22,8,5,6,47,32,22,15,5,11,2,19,6,7,11
"SGSH",45,139,82,29,24,98,261,189,95,54,46,23,56,61,65,58
"SLC26A11",28,78,49,13,10,81,127,79,62,14,18,0,17,14,20,27
"RNF213",1220,1918,1439,1377,1767,3273,4265,2470,2619,2569,5774,608,2974,3305,5627,4460
"RNF213-AS1",25,41,46,25,40,92,143,78,58,107,152,18,87,88,167,129
"ENDOV",15,55,20,7,32,52,78,102,56,44,24,4,45,46,33,46
"MIR4730",2,3,0,0,0,0,1,0,0,1,1,1,1,2,0,2
"NPTX1",458,667,251,992,9,1213,7838,1087,3293,64,16,32,4,60,122,67
"RPTOR",52,87,69,53,78,159,531,199,201,242,142,47,101,290,342,305
"LOC105371922",7,9,9,4,5,11,39,11,12,26,13,1,11,6,21,36
"LOC107985021",14,27,24,10,29,31,111,35,49,29,28,3,29,51,54,61
"LOC101928855",6,7,6,3,4,18,53,22,31,52,10,5,5,44,46,36
"LOC107985022",0,0,0,0,0,2,3,0,2,0,0,0,0,1,1,1
"LOC400627",1,6,7,4,6,12,22,17,5,27,7,1,8,34,37,34
