"","GSM2109575","GSM2109576","GSM2109577","GSM2109578","GSM2109579","GSM2109580","GSM2109581","GSM2109582","GSM2109583","GSM2109584","GSM2109585","GSM2109586","GSM2109587","GSM2109588","GSM2109589","GSM2109590"
"MYSM1",704,662,637,315,389,380,714,536,540,334,528,54,830,1203,949,975
"LOC112268263",1,10,0,4,0,1,15,3,1,0,5,0,7,2,2,1
"LOC105378751",0,21,0,1,0,1,27,5,8,0,8,0,11,1,7,2
"JUN",55,50,450,22,460,282,149,175,70,122,496,24,601,86,124,65
"LINC01135",0,0,1,1,0,2,1,0,4,1,0,0,1,3,1,2
"LOC101926907",22,16,13,11,21,22,15,21,18,24,10,2,22,28,38,64
"LOC107984961",3,2,1,0,0,2,2,1,2,0,1,0,0,1,1,2
"LINC02777",3,2,0,1,3,7,3,19,4,4,4,0,0,6,10,13
"LINC01358",1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0
"HSD52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FGGY-DT",5,3,2,1,0,2,3,7,2,0,2,0,2,0,1,3
"FGGY",173,230,84,42,145,116,152,142,134,36,103,8,267,89,79,72
"MIR4711",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"LOC101926944",0,0,0,1,4,4,0,1,1,0,2,0,8,0,0,0
"LOC105378758",2,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0
"HOOK1",555,267,81,46,148,45,277,114,106,44,119,11,217,72,94,69
"CYP2J2",3,1,0,0,25,3,0,1,1,4,7,0,23,0,12,2
"C1orf87",0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0
"LINC02778",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"LOC107984963",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"LOC105378761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107984962",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
"LOC107985379",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01748",229,178,239,32,99,0,165,1,125,0,47,0,102,1,1,0
"LOC101926964",1,0,0,0,148,1,2,2,1,0,112,0,36,0,1,0
"LOC105378764",6,14,5,1,206,2,253,0,1,0,62,0,135,0,2,0
"NFIA-AS2",3,5,4,0,79,2,103,1,1,1,27,0,69,6,0,0
"NFIA",2528,1384,2131,348,1116,1007,2447,1231,1076,193,914,28,1539,423,579,395
"NFIA-AS1",59,39,20,8,28,9,50,6,28,6,30,1,69,7,6,3
"LOC105378766",1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
"LOC107984964",0,0,3,0,1,0,1,0,0,0,0,0,2,2,0,0
"MGC34796",0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0
"TM2D1",234,138,114,49,61,40,209,37,52,24,60,4,75,133,103,102
"PATJ",1209,977,343,230,632,492,922,302,498,113,633,23,959,140,206,194
"MIR12132",1,3,0,0,1,0,1,0,2,0,1,0,2,1,0,0
"LOC107984965",72,46,7,8,22,10,23,11,24,6,18,0,48,6,4,4
"MIR3116-1",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"MIR3116-2",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"L1TD1",0,1,2,1,0,1,49,0,0,0,0,0,0,3,8,1
"KANK4",29,52,90,6,1,3,24,0,3,0,2,1,1,1,13,6
"LOC105378768",1,2,0,0,0,0,0,0,0,0,0,0,6,1,0,2
"USP1",218,245,232,131,144,105,242,105,196,225,128,25,328,987,445,567
"DOCK7",361,197,369,113,266,201,238,237,182,96,207,24,412,255,298,274
"ANGPTL3",24,20,16,4,6,8,16,19,13,12,17,5,25,41,31,22
"ATG4C",74,82,89,30,35,26,77,39,71,38,38,8,102,214,146,138
"LINC01739",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00466",0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0
"LOC105378770",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOXD3-AS1",0,0,0,0,2,11,0,0,0,0,1,1,0,0,0,0
"FOXD3",0,0,0,0,1,9,0,0,0,0,0,0,3,0,0,0
"MIR6068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALG6",120,112,119,52,45,35,73,64,82,62,51,14,136,332,183,180
"ITGB3BP",124,137,92,59,99,43,131,106,117,58,88,4,121,284,149,204
"LOC102724319",6,9,4,3,6,5,9,3,6,4,6,0,2,28,10,24
"EFCAB7",57,69,53,20,41,33,69,57,69,44,38,3,79,123,80,95
"DLEU2L",36,19,29,15,10,5,30,12,17,20,20,4,35,100,65,55
"PGM1",121,48,77,25,105,55,57,122,74,33,39,3,41,40,53,55
"LOC105378771",1,0,0,0,1,0,0,1,5,1,0,0,0,1,2,0
"ROR1",23,41,168,17,68,92,17,120,13,28,73,5,109,42,76,44
"LOC105378772",0,1,1,0,4,2,0,3,0,1,5,0,10,3,2,2
"ROR1-AS1",1,1,24,6,14,19,2,17,3,3,15,0,17,7,12,5
"LOC105378773",0,0,0,0,2,0,0,8,0,0,0,0,4,3,0,1
"UBE2U",0,0,0,0,0,1,0,3,0,0,0,0,1,1,1,1
"LOC105378774",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107984966",2,2,4,0,1,1,12,0,0,0,0,1,1,0,1,1
"CACHD1",356,243,286,41,35,28,529,60,112,61,142,10,115,78,80,98
"MIR4794",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RAVER2",860,858,484,133,96,144,852,133,628,72,115,7,172,324,205,214
"JAK1",976,792,907,380,471,432,1232,315,560,539,666,123,529,1249,1259,1512
"LINC01359",93,64,88,9,13,23,78,6,31,0,10,0,16,6,18,5
"MIR3671",16,2,7,1,3,4,16,0,2,5,4,1,13,6,12,5
"MIR101-1",4,69,16,4,6,9,20,0,10,1,0,2,5,5,5,3
"AK4",576,327,659,42,84,60,403,44,278,35,99,18,171,71,61,52
"DNAJC6",59,60,87,22,17,8,97,12,54,3,25,0,10,15,10,15
"LOC102724416",23,22,54,6,6,7,20,11,30,4,14,3,23,9,10,10
"LOC112268227",19,29,24,2,3,2,18,5,15,0,6,0,7,1,7,8
"LEPR",194,251,2605,39,39,21,83,40,73,27,69,6,173,165,98,61
"LEPROT",1220,809,947,225,246,225,1010,207,334,94,219,19,550,382,309,238
"PDE4B",49,35,36,127,212,91,65,43,58,55,222,19,236,84,118,83
"PDE4B-AS1",0,0,0,2,0,0,0,0,1,0,1,0,11,0,1,0
"LOC105378776",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"SGIP1",11,5,6,1,19,36,42,371,2,11,18,0,38,15,35,30
"MIR3117",0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0
"DYNLT5",0,1,1,0,2,7,7,46,1,2,4,0,2,0,4,2
"INSL5",0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0
"DNAI4",112,132,55,12,27,20,107,44,78,10,27,2,86,62,44,57
"MIER1",751,511,499,222,326,319,590,233,439,329,263,92,493,939,799,627
"SLC35D1",428,395,300,126,115,305,304,238,337,244,132,39,204,567,460,475
"C1orf141",2,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0
"IL23R",8,0,1,19,2,5,3,1,3,0,2,0,0,4,2,1
"IL12RB2",12,15,3,17,109,27,21,30,21,26,174,5,106,20,33,26
"LOC105378779",1,1,1,0,2,1,0,1,1,1,11,0,9,2,0,4
"SERBP1",2584,1816,1216,551,1006,631,1711,707,1028,431,907,142,2028,1923,1268,1372
"LINC01702",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"LOC105378780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GADD45A",34,13,27,9,57,53,33,16,5,39,176,9,132,78,49,62
"GNG12",1057,454,589,285,568,604,1587,458,699,82,485,6,535,254,233,204
"LOC105378781",9,19,11,2,8,16,40,3,19,0,20,1,19,2,5,5
"GNG12-AS1",19,22,25,2,1,7,21,12,15,2,5,0,9,14,4,5
"DIRAS3",3,3,7,1,1,11,49,1,9,4,1,0,5,1,0,1
"WLS",392,269,381,50,47,107,474,173,153,18,26,6,53,53,55,52
"MIR1262",0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0
"LOC105378782",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPE65",0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0
"DEPDC1",18,18,39,24,28,8,36,61,103,49,19,3,96,381,254,247
"DEPDC1-AS1",0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,2
"LOC107984967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105378783",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"LINC01707",1,0,0,0,11,4,0,3,1,0,2,0,6,0,0,0
"LOC105378787",8,0,0,0,7,15,0,1,2,0,3,0,9,0,0,0
"LINC02791",0,0,0,0,3,7,0,2,0,0,0,0,2,0,0,0
"LINC01758",0,0,0,0,0,3,0,2,0,0,2,0,2,0,0,0
"LOC105378789",0,0,0,0,0,13,0,7,0,0,1,0,3,0,0,0
"LOC105378790",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LRRC7",122,10,24,22,8,8,11,15,21,2,5,0,11,38,27,35
"PIN1P1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LRRC7-AS1",37,0,2,2,0,1,3,2,4,0,1,0,0,0,0,2
"LRRC40",136,116,123,52,69,49,139,62,118,71,77,5,145,350,233,258
"SRSF11",1656,1558,1578,715,1211,867,1564,773,1566,1120,1050,237,2376,3531,3050,2700
"ANKRD13C",241,235,217,76,113,93,269,104,127,93,130,19,199,459,245,327
"HHLA3",17,20,23,5,15,13,22,12,12,20,22,1,17,16,13,25
"HHLA3-AS1",6,7,11,3,10,1,7,10,5,6,3,0,0,8,6,8
"CTH",14,6,25,6,12,1,13,19,6,2,9,2,13,1,3,3
"LOC105378793",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105378794",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01788",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"LOC102724572",0,0,0,0,1,0,0,1,1,0,2,0,1,0,1,0
"PTGER3",25,54,97,21,18,5,9,22,14,2,16,1,52,19,18,10
"LOC107985517",2,8,5,4,3,0,2,10,1,0,5,0,4,2,7,0
"ZRANB2-AS1",81,82,57,23,24,14,86,14,43,22,33,11,100,117,106,59
"ZRANB2",923,1021,889,380,384,250,923,255,783,369,490,66,924,1571,1194,1153
"MIR186",11,6,4,3,1,2,11,5,6,4,2,2,0,6,8,7
"ZRANB2-DT",28,10,7,10,11,1,19,5,14,3,6,0,12,1,1,4
"LOC105378795",0,1,0,1,2,0,5,6,2,0,1,3,1,2,1,4
"NEGR1",49,15,82,29,36,25,41,43,242,10,17,2,66,144,102,109
"NEGR1-IT1",0,0,0,0,1,0,0,1,5,0,0,1,0,1,4,0
"LOC105378797",299,196,136,49,4,1,238,243,220,0,87,4,0,16,6,5
"LOC105378796",385,228,193,33,9,4,218,143,225,4,71,1,11,60,25,49
"LOC105378798",752,635,400,134,5,1,546,392,434,0,223,0,9,9,3,6
"LINC02796",97,69,29,12,0,0,46,40,71,0,14,0,0,0,0,0
"LINC02797",61,37,20,9,0,0,35,21,21,0,17,0,0,0,0,0
"LOC105378800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105378801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107985391",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105378802",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC02238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LRRIQ3",6,1,2,2,5,4,4,10,2,0,3,0,9,10,6,3
"FPGT-TNNI3K",10,20,17,3,11,14,21,27,11,1,15,2,23,10,10,6
"FPGT",338,175,175,111,131,131,304,216,160,54,93,7,249,182,130,113
"TNNI3K",8,11,7,3,9,10,15,21,5,0,10,1,19,3,3,2
"LOC105378805",0,4,0,0,0,8,0,32,1,0,0,0,2,0,0,0
"LRRC53",1,2,7,0,2,52,7,226,4,1,6,0,0,0,1,1
"ERICH3",7,6,1,0,9,29,65,93,5,36,7,6,13,24,15,18
"ERICH3-AS1",0,3,0,0,1,1,2,3,0,0,0,0,2,1,0,0
"CRYZ",745,382,188,126,155,129,405,202,279,27,57,6,183,143,183,158
"TYW3",164,149,106,53,103,65,128,84,93,23,45,4,92,91,100,104
"LHX8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC44A5",5,66,296,7,294,2,161,27,78,11,175,0,482,2,50,23
"ACADM",231,250,243,87,221,97,153,106,171,124,132,30,357,490,333,240
"DLSTP1",83,46,46,29,30,58,61,53,49,56,42,10,47,89,87,110
"RABGGTB",284,177,171,87,194,81,249,76,137,77,187,12,292,277,205,215
"SNORD45C",1979,263,196,186,753,371,727,289,1176,91,494,42,544,310,278,348
"SNORD45A",32244,4079,1688,2731,20627,4167,26595,14662,30800,1137,17309,552,19493,3546,6541,8151
"SNORD45B",6466,391,503,113,1506,987,11814,7994,11644,801,5771,207,4686,667,669,893
"MSH4",14,2,4,1,7,5,3,8,5,2,1,0,2,5,6,7
"ASB17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105378806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"LOC101927342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ST6GALNAC3",26,16,22,12,8,4,43,11,20,7,19,6,23,16,36,10
"LOC105378807",5,1,2,2,4,0,5,2,3,2,1,2,0,2,9,4
"LINC02567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ST6GALNAC5",187,60,22,16,6,4,39,1,2,0,8,2,13,3,5,2
"MIR7156",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIGK",298,234,225,107,109,86,396,88,191,67,89,14,208,258,238,209
"LOC105378808",0,3,2,2,0,3,18,1,8,2,0,0,2,3,8,8
"AK5",26,102,121,18,0,10,435,7,112,5,4,0,7,28,9,17
"ZZZ3",672,618,524,196,327,276,501,296,381,158,263,32,537,777,606,611
"USP33",618,621,631,220,282,287,578,233,378,219,345,36,577,1330,754,796
"MIGA1",502,237,215,75,150,156,351,148,240,120,155,20,233,257,200,172
"NEXN-AS1",2,3,1,1,3,13,14,11,8,5,5,0,3,3,7,7
"NEXN",809,554,384,213,253,264,726,286,565,217,318,50,641,1226,865,734
"FUBP1",1551,1138,845,399,537,447,1485,457,1041,427,638,96,1046,2171,1505,1536
"DNAJB4",803,377,301,61,72,97,442,159,207,72,123,4,121,222,159,139
"GIPC2",13,5,4,4,7,0,12,8,2,3,8,0,19,5,4,4
"LOC107984997",3,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1
"MGC27382",0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,1
"PTGFR",0,1,0,2,12,7,0,8,2,0,3,0,50,0,1,0
"IFI44L",22,167,44,18,127,375,94,41,44,367,822,148,866,534,2549,543
"IFI44",207,393,259,74,240,371,274,51,207,242,654,66,1024,393,1571,434
"ADGRL4",154,88,71,42,22,16,168,49,67,5,29,4,98,29,46,24
"LOC107984998",1,0,2,0,1,0,2,3,4,0,0,0,2,2,0,1
"LOC105378810",0,4,6,0,0,0,0,0,3,0,0,0,0,0,0,0
"LOC105378812",0,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0
"LOC105378811",0,10,3,0,0,0,1,0,1,2,0,0,1,0,1,1
"LINC02792",0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0
"LINC01781",0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0
"LOC105378813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107985018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADGRL2",865,670,754,62,414,349,1381,528,307,39,90,20,164,99,152,108
"LOC101927434",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"LOC105378814",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LOC107985396",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01362",27,35,38,6,17,2,45,28,20,1,8,0,26,35,7,13
"LINC01361",3,5,7,1,1,1,11,6,5,1,1,0,3,0,1,0
"LOC107985037",79,61,26,13,16,22,48,36,42,5,8,0,13,18,9,10
"LOC105378816",51,18,17,2,27,26,14,22,7,11,13,1,28,25,19,8
"LINC01712",5,2,1,2,8,5,1,2,0,1,5,0,3,4,1,1
"LOC107985043",109,74,8,8,4,48,23,12,19,10,12,2,13,37,25,16
"LINC01725",76,46,12,1,13,32,17,15,14,4,9,0,12,41,19,20
"LOC101927560",54,24,10,5,2,23,23,15,20,5,8,0,11,15,25,18
"LOC107985041",9,16,6,3,2,11,5,6,5,1,1,0,2,4,6,6
"TTLL7",58,59,41,12,27,7,157,21,28,8,22,3,23,15,19,14
"PRKACB",299,183,390,209,72,124,299,120,388,350,135,83,143,1708,1231,1249
"LOC107985046",64,54,43,21,11,18,84,15,35,18,24,5,19,78,55,59
"LOC112268230",1,1,0,0,1,3,0,0,4,1,0,0,1,0,1,1
"SAMD13",5,0,5,2,0,0,0,7,4,0,0,0,0,13,11,11
"UOX",2,1,0,2,0,3,7,1,2,0,4,0,3,0,0,1
"DNASE2B",0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0
"RPF1",73,70,85,37,70,35,127,59,50,22,54,8,83,230,134,173
"GNG5",211,87,94,51,56,89,111,66,82,68,66,14,85,186,295,166
"SPATA1",48,31,32,18,20,26,37,30,32,32,41,12,36,115,132,97
"CTBS",282,93,120,47,71,75,197,81,134,65,88,19,136,255,205,207
"LOC105378819",1,1,2,0,3,2,5,0,2,0,4,1,0,0,2,0
"LINC01461",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"LINC01555",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SSX2IP",312,186,123,64,62,238,391,183,149,103,76,21,170,445,272,248
"LOC102724892",4,1,5,0,0,0,2,5,5,3,0,0,0,0,0,0
"LPAR3",312,154,54,22,3,36,37,49,47,4,0,3,2,9,20,7
"MCOLN2",85,89,64,125,75,256,164,235,104,80,178,31,143,143,236,178
"MCOLN3",300,278,197,54,30,371,468,610,212,42,38,10,31,80,129,58
"DNAI3",11,2,0,2,33,27,11,38,2,2,14,0,13,2,6,4
"MIR4423",0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
"SYDE2",661,361,291,32,40,37,334,23,103,22,23,4,43,32,33,18
"LOC105378821",0,0,3,0,0,0,1,0,0,0,0,1,2,0,0,1
"C1orf52",473,395,268,100,151,160,283,136,258,148,132,50,211,659,565,431
"BCL10",107,46,58,26,67,24,81,40,78,42,65,12,84,132,110,112
"BCL10-AS1",1,2,6,0,2,1,6,2,3,2,7,1,5,3,2,4
"DDAH1",115,67,103,35,120,26,110,44,19,5,77,8,169,10,31,15
"LOC107985054",6,27,29,13,9,4,12,6,3,1,4,0,13,1,4,2
"CCN1",22,35,1506,99,46,110,56,61,20,27,107,4,227,7,6,10
"LOC107985057",8,10,12,6,8,4,10,4,9,20,5,0,9,31,8,32
"LOC112268231",6,2,2,3,2,2,3,3,7,5,2,0,1,8,3,3
"ZNHIT6",262,233,211,82,133,104,204,136,218,94,157,39,275,289,222,280
"LOC105378823",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"COL24A1",7,8,6,16,7,7,3,3,6,2,5,0,17,15,21,7
"LINC02795",0,3,5,4,25,2,4,0,9,11,8,0,16,42,22,34
"LOC105378825",1,5,2,3,8,4,5,2,8,3,10,0,13,34,34,19
"ODF2L",331,153,161,115,127,69,251,44,204,312,130,38,363,1214,739,670
"MIR7856",0,1,1,0,0,0,0,0,1,0,0,0,0,2,1,2
"CLCA2",112,0,4,7,44,190,3,39,1,1,13,0,20,6,6,5
"CLCA1",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"LOC105378827",3,1,2,1,1,1,3,1,0,1,1,0,1,2,2,2
"LOC105378826",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLCA4",1,6,0,1,2,1,1,0,1,0,7,0,50,4,2,2
"CLCA4-AS1",4,0,2,2,3,2,4,1,0,0,10,0,11,6,16,6
"CLCA3P",3,3,5,3,1,2,2,0,1,0,8,0,7,3,4,3
"SH3GLB1",645,574,483,233,285,213,653,216,406,160,262,39,468,711,600,530
"LOC105378831",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SELENOF",794,324,395,113,231,138,733,227,423,97,203,20,307,540,393,382
"HS2ST1",289,280,254,129,131,110,470,147,245,75,114,22,336,431,307,376
"LINC01140",2,5,2,5,8,2,9,4,14,0,10,0,13,1,10,4
"LINC02801",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"LMO4",445,245,215,39,429,76,127,62,75,28,214,9,278,53,84,56
"LINC01364",3,1,4,1,1,1,0,1,1,1,9,0,1,2,3,3
"LOC105378833",28,4,14,1,8,2,6,19,8,3,16,3,16,4,3,7
"LOC105378834",5,4,4,0,7,5,0,11,0,0,2,0,2,1,6,1
"LOC107985408",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"LOC105378835",0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0
"LOC107985518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01773",0,0,0,0,2,0,0,0,0,0,3,0,3,1,0,0
"LOC101927871",0,0,2,0,4,0,0,0,0,1,1,0,1,0,0,3
"LOC105378836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105378839",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"PKN2-AS1",8,1,2,3,0,0,3,6,12,4,0,0,4,3,10,5
"LOC105378838",6,11,17,1,1,1,6,4,10,0,1,1,8,4,8,8
"PKN2",1128,752,607,239,342,317,988,391,527,225,301,43,587,1113,702,786
"GTF2B",156,115,127,62,115,52,109,39,104,57,51,8,104,149,158,155
"KYAT3",216,105,146,63,128,74,147,43,133,60,80,20,129,296,146,199
"RBMXL1",372,207,256,89,122,119,238,108,181,97,149,16,194,429,254,338
"GBP3",52,27,40,56,214,143,38,25,39,82,105,14,169,136,182,174
"LOC105378841",9,8,16,4,10,8,8,4,16,8,12,8,3,19,21,24
"GBP1",70,60,105,68,105,83,88,60,47,65,298,28,180,74,224,147
"GBP2",64,19,48,69,58,56,31,58,30,89,147,23,117,99,211,145
"LOC112268267",50,17,48,37,28,35,28,36,24,55,121,23,76,66,97,100
"LOC105378842",3,0,0,0,2,1,1,4,0,0,1,0,3,5,3,5
"GBP7",2,2,3,2,8,2,1,3,2,5,0,0,5,2,6,5
"GBP4",249,97,214,80,207,146,87,101,64,88,236,24,300,137,341,155
"LOC107985076",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"LOC105378843",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GBP5",63,30,77,126,41,65,42,74,60,63,253,23,90,70,97,80
"LOC729930",2,1,3,3,1,1,2,1,2,1,0,2,1,1,0,0
"GBP6",3,1,5,1,5,195,3,112,0,3,3,1,9,16,24,24
"GBP1P1",23,6,8,2,4,7,2,5,5,4,13,1,9,3,14,3
"LOC105378844",5,2,2,4,8,3,12,1,10,0,3,0,17,10,4,2
"LRRC8B",166,62,91,112,387,44,253,47,109,78,350,11,462,293,256,281
"LRRC8C",125,84,364,182,77,97,190,104,94,161,142,27,116,246,183,188
"LRRC8C-DT",1,0,5,2,3,2,2,3,4,1,1,3,4,7,2,5
"LOC107985743",2,0,2,4,2,1,0,4,2,0,3,0,1,7,5,3
"LOC101927952",1,0,2,0,0,2,0,2,0,5,3,0,0,0,8,1
"LOC107985744",0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0
"LOC101927975",0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,1
"LRRC8D",89,123,147,83,85,28,316,33,118,73,92,11,168,373,300,293
"LOC105378847",3,8,8,0,0,0,3,0,1,11,2,0,0,8,2,2
"GEMIN8P4",2,0,2,4,5,3,1,4,3,0,10,0,6,4,2,3
"ZNF326",338,363,429,145,228,147,390,254,323,286,241,29,536,1012,660,630
"LOC105378848",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LOC105378849",0,0,0,0,0,7,0,0,4,0,5,0,3,0,1,0
"LOC107985088",0,0,0,0,2,49,0,0,18,1,18,0,17,1,4,0
"LOC105378850",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"LOC105378851",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC02787",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SNORD3G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BARHL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC02609",6,1,18,3,1,6,2,33,1,0,5,0,7,3,8,3
"LINC02788",5,0,6,0,3,2,2,4,0,0,1,0,3,1,0,0
"LINC01763",0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0
"ZNF644",517,445,426,277,327,290,533,260,374,221,333,51,545,1022,704,785
"HFM1",32,13,19,5,4,37,2,28,13,6,2,0,9,11,4,3
"LOC107985412",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107985417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105378856",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CDC7",32,37,40,45,17,7,88,57,84,53,33,9,40,267,169,165
"LOC102723436",1,0,2,0,0,0,0,0,0,0,0,0,4,2,1,1
"TGFBR3",1233,1176,662,218,30,340,1541,600,581,36,60,15,79,164,200,144
"BRDT",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"EPHX4",1,0,0,1,5,5,6,3,0,0,4,0,7,1,0,2
"SETSIP",26,17,28,9,13,6,18,16,20,7,10,9,18,47,30,52
"BTBD8",12,24,7,9,11,6,33,6,10,4,6,4,25,57,31,26
"KIAA1107",42,32,20,16,48,34,49,25,29,22,31,4,64,66,56,43
"C1orf146",2,1,1,2,1,2,1,1,1,0,1,0,1,8,7,4
"GLMN",84,41,54,34,64,41,73,53,80,94,60,5,96,297,173,193
"RPAP2",338,291,251,140,234,207,376,215,322,152,242,30,374,665,540,567
"GFI1",11,4,73,67,14,2,14,10,249,364,50,54,8,689,730,858
"EVI5",371,264,286,79,141,95,307,93,165,27,132,19,245,63,86,79
"RPL5",1369,1391,910,502,738,390,925,408,671,371,559,67,809,1514,1222,1123
"DIPK1A",426,212,172,86,39,92,475,121,177,76,75,11,50,260,186,198
"SNORD21",86644,23817,3106,5396,20018,5296,24555,5452,23096,6612,16223,2734,36705,9130,7601,7770
"SNORA66",8774,4133,1120,3730,3773,4698,1625,837,733,404,3422,674,2479,1150,1246,2016
"MTF2",371,203,202,123,113,75,209,83,342,194,124,25,183,1208,629,616
"TMED5",414,320,362,195,222,173,543,198,337,142,211,35,373,667,491,504
"CCDC18",224,162,218,106,112,64,223,113,289,173,117,29,170,789,544,578
"LOC107985521",1,1,3,0,3,1,2,0,1,3,0,1,2,5,5,7
"CCDC18-AS1",602,597,347,185,197,132,573,160,465,285,212,72,238,1058,885,733
"DR1",962,750,570,234,337,264,954,520,682,375,348,63,515,1573,1404,1228
"FNBP1L",778,540,495,86,233,160,1030,295,443,51,164,17,353,141,134,108
"TRC-GCA7-1",2,1,2,0,0,0,2,0,1,0,2,0,0,0,0,0
